n_samples,bw_method,kernel,results
1000,sturges,cosine,1.4362141342783081
1000,sqrt,gaussian,1.3879288767656406
1000,sqrt,tophat,1.423554559284646
1000,sqrt,epanechnikov,1.380463953054981
1000,sqrt,exponential,1.4662170183096437
1000,sqrt,linear,1.421060430667821
1000,sqrt,cosine,1.3947963822045655
10000,fd,gaussian,1.4196628187244744
10000,fd,tophat,1.4159132726039239
10000,fd,epanechnikov,1.403958947693843
10000,fd,exponential,1.4303680469042945
10000,fd,linear,1.4258574950391272
10000,fd,cosine,1.4247410693851061
10000,doane,gaussian,1.5240016431167454
10000,doane,tophat,1.4441989987731025
10000,doane,epanechnikov,1.4511223110433775
10000,doane,exponential,1.557319919083885
10000,doane,linear,1.4466660884054183
10000,doane,cosine,1.4258009247016776
10000,scott,gaussian,1.4362260762317736
10000,scott,tophat,1.4282101543448984
10000,scott,epanechnikov,1.4228677856335024
10000,scott,exponential,1.4513724157366807
10000,scott,linear,1.4183524030547692
10000,scott,cosine,1.4253648582583107
10000,stone,gaussian,1.417649099919805
10000,stone,tophat,1.4136120051660555
10000,stone,epanechnikov,1.4159680708329128
10000,stone,exponential,1.4544978379477482
10000,stone,linear,1.4194824445975422
10000,stone,cosine,1.4188517419431255
10000,rice,gaussian,1.4328594168292406
10000,rice,tophat,1.415667414870688
10000,rice,epanechnikov,1.4130447795820733
10000,rice,exponential,1.4496608775499569
10000,rice,linear,1.4162522327035096
10000,rice,cosine,1.4139248987843493
10000,sturges,gaussian,1.5475257026325022
10000,sturges,tophat,1.4578618653672908
10000,sturges,epanechnikov,1.4461690781106995
10000,sturges,exponential,1.5860823154461845
10000,sturges,linear,1.4341026830083152
10000,sturges,cosine,1.4353272591607877
10000,sqrt,gaussian,1.4159672431576935
10000,sqrt,tophat,1.4069591196964388
10000,sqrt,epanechnikov,1.421997406859997
10000,sqrt,exponential,1.4258456722260247
10000,sqrt,linear,1.4168064419441506
10000,sqrt,cosine,1.4028105312755519
100000,fd,gaussian,1.4255123645088534
100000,fd,tophat,1.4219332689716244
100000,fd,epanechnikov,1.418725756134918
100000,fd,exponential,1.4170857708497455
100000,fd,linear,1.4201392463808975
100000,fd,cosine,1.4189109675339402
100000,doane,gaussian,1.520866935447702
100000,doane,tophat,1.4471845560915408
100000,doane,epanechnikov,1.44217432037353
100000,doane,exponential,1.5803505874598835
100000,doane,linear,1.4371646627669608
100000,doane,cosine,1.4368870275422287
100000,scott,gaussian,1.4192057674465233
100000,scott,tophat,1.4164923703346257
100000,scott,epanechnikov,1.4183839454122502
100000,scott,exponential,1.424955116925343
100000,scott,linear,1.4185625607366779
100000,scott,cosine,1.4175373894507097
100000,stone,gaussian,1.417088409284083
100000,stone,tophat,1.4209632017616929
100000,stone,epanechnikov,1.4178218517819121
100000,stone,exponential,1.4238903229751054
100000,stone,linear,1.4189270565428718
100000,stone,cosine,1.4172133652321397
100000,rice,gaussian,1.426421140876049
100000,rice,tophat,1.420642715900182
100000,rice,epanechnikov,1.4144033241543423
100000,rice,exponential,1.4280470159256013
100000,rice,linear,1.4166405562366304
100000,rice,cosine,1.4203743434102027
100000,sturges,gaussian,1.5242667049510725
100000,sturges,tophat,1.454861781650792
100000,sturges,epanechnikov,1.4445826586475636
100000,sturges,exponential,1.6172289363210217
100000,sturges,linear,1.4341234562900917
100000,sturges,cosine,1.439434641048313
100000,sqrt,gaussian,1.4171327248226648
100000,sqrt,tophat,1.4186910822770573
100000,sqrt,epanechnikov,1.4185042237899517
100000,sqrt,exponential,1.415927818791674
100000,sqrt,linear,1.4181593087445827
100000,sqrt,cosine,1.4138313067469286
